Name,Swimmer_ID,Team,Year,Event,Event_Type,swim_type,Time,Improvement
Samantha Couillard,244824,Boston College,2014,200 Y Breast,Prelims,swim,2:21.32,-0.6%
Samantha Couillard,244824,Boston College,2014,200 Y IM,Prelims,swim,2:11.50,-0.0%
Melissa Merwin,149127,Boston College,2014,50 Y Breast,Timed Finals,swim,30.71,NA
Melissa Merwin,149127,Boston College,2014,100 Y Breast,Prelims,swim,1:05.52,-0.3%
Melissa Merwin,149127,Boston College,2014,100 Y Breast,Timed Finals,swim,1:05.67,NA
Melissa Merwin,149127,Boston College,2014,200 Y Breast,Prelims,swim,2:19.75,+1.6%
Melissa Merwin,149127,Boston College,2014,200 Y IM,Prelims,swim,2:10.56,+0.2%
Madeline Mailliard,166438,Boston College,2014,50 Y Free,Prelims,swim,24.47,-0.6%
Madeline Mailliard,166438,Boston College,2014,50 Y Free,Timed Finals,swim,23.95,NA
Madeline Mailliard,166438,Boston College,2014,100 Y Free,Timed Finals,swim,INV,NA
Madeline Mailliard,166438,Boston College,2014,50 Y Back,Timed Finals,swim,27.18,+2.3%
Madeline Mailliard,166438,Boston College,2014,100 Y Back,Prelims,swim,57.68,+0.9%
Madeline Mailliard,166438,Boston College,2014,100 Y Back,Timed Finals,swim,57.59,+1.0%
Madeline Mailliard,166438,Boston College,2014,200 Y Back,Prelims,swim,2:06.16,+0.4%
Elizabeth Manning,124444,Boston College,2014,100 Y Free,Prelims,swim,53.37,+2.0%
Elizabeth Manning,124444,Boston College,2014,200 Y Free,Prelims,swim,1:54.98,-0.1%
Elizabeth Manning,124444,Boston College,2014,200 Y Free,Timed Finals,swim,1:53.88,NA
Elizabeth Manning,124444,Boston College,2014,500 Y Free,Prelims,swim,5:04.68,+0.7%
Elizabeth Manning,124444,Boston College,2014,100 Y Fly,Timed Finals,swim,59.21,+5.2%
Allison Viverette,203848,Boston College,2014,100 Y Free,Prelims,swim,54.24,+0.2%
Allison Viverette,203848,Boston College,2014,200 Y Free,Prelims,swim,1:54.08,+0.9%
Allison Viverette,203848,Boston College,2014,200 Y Free,Timed Finals,swim,1:53.41,NA
Allison Viverette,203848,Boston College,2014,500 Y Free,Prelims,swim,5:04.29,+0.2%
Allison Viverette,203848,Boston College,2014,100 Y Fly,Timed Finals,swim,59.83,+5.7%
Gracie Kunkel,112402,Boston College,2014,50 Y Free,Timed Finals,swim,24.41,-0.1%
Gracie Kunkel,112402,Boston College,2014,50 Y Free,Prelims,swim,24.48,-0.4%
Gracie Kunkel,112402,Boston College,2014,100 Y Free,Prelims,swim,54.67,-1.1%
Gracie Kunkel,112402,Boston College,2014,100 Y Breast,Prelims,swim,1:07.97,+0.7%
Kelly McGrath,116566,Boston College,2014,200 Y Free,Prelims,swim,1:56.97,+0.9%
Kelly McGrath,116566,Boston College,2014,100 Y Fly,Timed Finals,swim,58.93,+3.1%
Kelly McGrath,116566,Boston College,2014,200 Y IM,Prelims,swim,2:09.56,-0.2%
Kelly McGrath,116566,Boston College,2014,400 Y IM,Prelims,swim,4:32.48,-0.3%
Kimberly Rich,108531,Boston College,2014,50 Y Free,Prelims,swim,24.75,+0.8%
Kimberly Rich,108531,Boston College,2014,100 Y Free,Prelims,swim,54.16,+0.1%
Kimberly Rich,108531,Boston College,2014,200 Y Free,Prelims,swim,1:57.46,+1.4%
Abigail Kordell,110228,Boston College,2014,200 Y Breast,Prelims,swim,2:24.64,-0.1%
Abigail Kordell,110228,Boston College,2014,200 Y IM,Prelims,swim,2:12.01,+1.0%
Abigail Kordell,110228,Boston College,2014,400 Y IM,Prelims,swim,4:41.21,-0.5%
Allie Manning,305146,Boston College,2014,50 Y Back,Timed Finals,swim,27.73,+1.6%
Allie Manning,305146,Boston College,2014,100 Y Back,Prelims,swim,59.46,+1.2%
Allie Manning,305146,Boston College,2014,100 Y Fly,Prelims,swim,59.78,+0.8%
Allie Manning,305146,Boston College,2014,200 Y IM,Prelims,swim,2:11.08,+1.1%
Caitlin Marks,194209,Boston College,2014,50 Y Free,Prelims,swim,25.40,+2.8%
Caitlin Marks,194209,Boston College,2014,100 Y Breast,Timed Finals,swim,1:08.90,-2.9%
Caitlin Marks,194209,Boston College,2014,100 Y Breast,Prelims,swim,1:08.10,-1.7%
Caitlin Marks,194209,Boston College,2014,200 Y Breast,Prelims,swim,2:25.60,+0.2%
Ann Kearns,94028,Boston College,2014,200 Y Free,Timed Finals,swim,1:56.19,NA
Ann Kearns,94028,Boston College,2014,500 Y Free,Prelims,swim,5:14.41,-1.7%
Ann Kearns,94028,Boston College,2014,100 Y Fly,Prelims,swim,1:00.62,-2.2%
Ann Kearns,94028,Boston College,2014,200 Y Fly,Prelims,swim,2:10.92,-2.5%
Mackenzie Merriam,200416,Boston College,2014,50 Y Free,Prelims,swim,26.25,-1.9%
Mackenzie Merriam,200416,Boston College,2014,100 Y Fly,Timed Finals,swim,59.93,-2.7%
Mackenzie Merriam,200416,Boston College,2014,100 Y Fly,Prelims,swim,59.59,-2.2%
Mackenzie Merriam,200416,Boston College,2014,200 Y Fly,Prelims,swim,2:13.60,-4.4%
Marina Vranos,197757,Boston College,2014,1M Diving,Prelims,dive,187.50,NA
Marina Vranos,197757,Boston College,2014,3M Diving,Prelims,dive,209.15,NA
Kathryn Oskar,158774,Boston College,2014,1M Diving,Prelims,dive,191.45,NA
Kathryn Oskar,158774,Boston College,2014,3M Diving,Prelims,dive,188.70,NA
Amanda Bieler,208118,Boston College,2015,200 Y Free,Prelims,swim,1:56.90,-0.1%
Amanda Bieler,208118,Boston College,2015,200 Y Free,Timed Finals,swim,1:56.52,NA
Amanda Bieler,208118,Boston College,2015,500 Y Free,Prelims,swim,5:09.16,-0.9%
Amanda Bieler,208118,Boston College,2015,1650 Y Free,Timed Finals,swim,17:35.27,+0.1%
Maureen Barron,174385,Boston College,2015,50 Y Free,Prelims,swim,23.62,+1.5%
Maureen Barron,174385,Boston College,2015,50 Y Free,Timed Finals,swim,DQ,NA
Maureen Barron,174385,Boston College,2015,50 Y Free,Timed Finals,swim,23.92,+0.3%
Maureen Barron,174385,Boston College,2015,50 Y Free,Timed Finals,swim,23.85,NA
Maureen Barron,174385,Boston College,2015,100 Y Free,Prelims,swim,51.02,+1.2%
Maureen Barron,174385,Boston College,2015,100 Y Free,Timed Finals,swim,50.77,NA
Maureen Barron,174385,Boston College,2015,100 Y Free,Timed Finals,swim,51.12,+1.0%
Maureen Barron,174385,Boston College,2015,100 Y Breast,Prelims,swim,1:05.80,+3.1%
Emily Downs,244826,Boston College,2015,50 Y Free,Prelims,swim,24.13,-0.7%
Emily Downs,244826,Boston College,2015,50 Y Free,Timed Finals,swim,23.35,NA
Emily Downs,244826,Boston College,2015,100 Y Free,Prelims,swim,52.07,-0.9%
Emily Downs,244826,Boston College,2015,100 Y Free,Timed Finals,swim,51.05,NA
Emily Downs,244826,Boston College,2015,200 Y Free,Prelims,swim,1:52.28,NA
Emily Downs,244826,Boston College,2015,200 Y Free,Timed Finals,swim,1:52.28,+0.1%
Elizabeth Manning,124444,Boston College,2015,100 Y Free,Prelims,swim,52.82,+0.9%
Elizabeth Manning,124444,Boston College,2015,100 Y Free,Timed Finals,swim,52.01,NA
Elizabeth Manning,124444,Boston College,2015,200 Y Free,Prelims,swim,1:53.44,+1.4%
Elizabeth Manning,124444,Boston College,2015,200 Y Free,Timed Finals,swim,1:53.48,NA
Elizabeth Manning,124444,Boston College,2015,500 Y Free,Prelims,swim,5:08.64,-0.1%
Annie Fothergill,124248,Boston College,2015,50 Y Free,Prelims,swim,24.31,+1.2%
Annie Fothergill,124248,Boston College,2015,50 Y Free,Timed Finals,swim,23.72,NA
Annie Fothergill,124248,Boston College,2015,100 Y Free,Prelims,swim,52.95,+2.5%
Annie Fothergill,124248,Boston College,2015,100 Y Free,Timed Finals,swim,52.41,NA
Annie Fothergill,124248,Boston College,2015,100 Y Fly,Prelims,swim,58.46,+2.1%
Madeline Mailliard,166438,Boston College,2015,50 Y Free,Timed Finals,swim,24.40,-0.7%
Madeline Mailliard,166438,Boston College,2015,50 Y Free,Prelims,swim,24.33,-0.4%
Madeline Mailliard,166438,Boston College,2015,100 Y Back,Prelims,swim,58.05,+0.1%
Madeline Mailliard,166438,Boston College,2015,100 Y Back,Timed Finals,swim,57.86,+0.4%
Madeline Mailliard,166438,Boston College,2015,200 Y Back,Prelims,swim,2:05.83,+0.7%
Jordan Parry,79418,Boston College,2015,50 Y Fly,Timed Finals,swim,DQ,NA
Jordan Parry,79418,Boston College,2015,50 Y Fly,Timed Finals,swim,25.52,NA
Jordan Parry,79418,Boston College,2015,100 Y Fly,Prelims,swim,56.89,-0.3%
Jordan Parry,79418,Boston College,2015,100 Y Fly,Timed Finals,swim,56.34,NA
Jordan Parry,79418,Boston College,2015,200 Y Fly,Prelims,swim,2:07.72,+0.2%
Jordan Parry,79418,Boston College,2015,200 Y IM,Prelims,swim,2:11.44,+0.8%
Gracie Kunkel,112402,Boston College,2015,50 Y Free,Timed Finals,swim,24.29,-0.1%
Gracie Kunkel,112402,Boston College,2015,50 Y Free,Prelims,swim,24.29,-0.1%
Gracie Kunkel,112402,Boston College,2015,50 Y Free,Timed Finals,swim,23.76,NA
Gracie Kunkel,112402,Boston College,2015,100 Y Free,Prelims,swim,53.68,-1.5%
Gracie Kunkel,112402,Boston College,2015,100 Y Back,Prelims,swim,1:00.21,-0.1%
Kimberly Rich,108531,Boston College,2015,50 Y Free,Prelims,swim,24.54,+0.1%
Kimberly Rich,108531,Boston College,2015,100 Y Free,Prelims,swim,53.68,+0.3%
Kimberly Rich,108531,Boston College,2015,200 Y Free,Prelims,swim,1:57.86,-0.3%
Emily Mann,342436,Boston College,2015,100 Y Fly,Prelims,swim,59.37,-0.4%
Emily Mann,342436,Boston College,2015,200 Y Fly,Prelims,swim,2:09.14,+1.6%
Emily Mann,342436,Boston College,2015,200 Y IM,Prelims,swim,2:09.88,+1.5%
Abigail Kordell,110228,Boston College,2015,200 Y Breast,Prelims,swim,2:25.28,-0.9%
Abigail Kordell,110228,Boston College,2015,200 Y IM,Prelims,swim,2:12.01,-1.4%
Abigail Kordell,110228,Boston College,2015,400 Y IM,Prelims,swim,4:37.82,-0.5%
Emily Smith,278362,Boston College,2015,50 Y Free,Prelims,swim,25.68,+0.9%
Emily Smith,278362,Boston College,2015,100 Y Fly,Prelims,swim,59.17,-1.0%
Emily Smith,278362,Boston College,2015,200 Y Fly,Prelims,swim,2:07.45,+0.4%
Kelly McGrath,116566,Boston College,2015,200 Y Fly,Prelims,swim,2:10.33,-0.0%
Kelly McGrath,116566,Boston College,2015,200 Y IM,Prelims,swim,2:13.00,-1.3%
Kelly McGrath,116566,Boston College,2015,400 Y IM,Prelims,swim,4:40.05,-1.2%
Grace Gibbons,163514,Boston College,2015,200 Y Free,Prelims,swim,1:56.21,+0.2%
Grace Gibbons,163514,Boston College,2015,200 Y Free,Timed Finals,swim,1:55.46,NA
Grace Gibbons,163514,Boston College,2015,500 Y Free,Prelims,swim,5:12.81,-0.3%
Grace Gibbons,163514,Boston College,2015,200 Y Back,Prelims,swim,2:11.04,-1.3%
Melissa Merwin,149127,Boston College,2015,50 Y Free,Timed Finals,swim,30.62,-11.1%
Melissa Merwin,149127,Boston College,2015,50 Y Breast,Timed Finals,swim,DQ,NA
Melissa Merwin,149127,Boston College,2015,50 Y Breast,Timed Finals,swim,29.89,NA
Melissa Merwin,149127,Boston College,2015,100 Y Breast,Prelims,swim,1:04.67,+1.6%
Melissa Merwin,149127,Boston College,2015,100 Y Breast,Timed Finals,swim,1:04.19,NA
Melissa Merwin,149127,Boston College,2015,200 Y Breast,Prelims,swim,2:20.06,+0.2%
Melissa Merwin,149127,Boston College,2015,200 Y IM,Prelims,swim,2:12.54,-1.7%
Caroline Quindlen,202364,Boston College,2015,50 Y Free,Prelims,swim,25.90,-1.6%
Caroline Quindlen,202364,Boston College,2015,50 Y Back,Timed Finals,swim,DQ,NA
Caroline Quindlen,202364,Boston College,2015,50 Y Back,Timed Finals,swim,27.22,-1.4%
Caroline Quindlen,202364,Boston College,2015,100 Y Back,Prelims,swim,59.14,-0.2%
Caroline Quindlen,202364,Boston College,2015,200 Y Back,Prelims,swim,2:14.06,-1.4%
Madeline Simone,242562,Boston College,2015,200 Y Free,Prelims,swim,2:00.46,+0.9%
Madeline Simone,242562,Boston College,2015,500 Y Free,Prelims,swim,5:14.88,-1.7%
Madeline Simone,242562,Boston College,2015,1650 Y Free,Timed Finals,swim,17:58.80,-2.1%
Madeline Simone,242562,Boston College,2015,200 Y Fly,Timed Finals,swim,2:19.45,-3.5%
Marina Vranos,197757,Boston College,2015,1M Diving,Prelims,dive,171.55,NA
Marina Vranos,197757,Boston College,2015,3M Diving,Prelims,dive,146.25,NA
Dana Hadra,68583,Boston College,2015,1M Diving,Prelims,dive,167.60,NA
Dana Hadra,68583,Boston College,2015,3M Diving,Prelims,dive,182.30,NA
Maureen Barron,174385,Boston College,2016,50 Y Free,Prelims,swim,23.43,-0.5%
Maureen Barron,174385,Boston College,2016,50 Y Free,Timed Finals,swim,23.70,-1.7%
Maureen Barron,174385,Boston College,2016,100 Y Free,Prelims,swim,51.20,-0.4%
Maureen Barron,174385,Boston College,2016,100 Y Free,Timed Finals,swim,50.89,+0.2%
Maureen Barron,174385,Boston College,2016,50 Y Breast,Timed Finals,swim,29.28,NA
Maureen Barron,174385,Boston College,2016,100 Y Breast,Timed Finals,swim,1:04.94,-0.3%
Maureen Barron,174385,Boston College,2016,100 Y Breast,Prelims,swim,1:04.74,+0.9%
Maureen Barron,174385,Boston College,2016,100 Y Breast,Timed Finals,swim,1:04.85,NA
Elizabeth Manning,124444,Boston College,2016,50 Y Free,Timed Finals,swim,24.92,-0.9%
Elizabeth Manning,124444,Boston College,2016,50 Y Free,Timed Finals,swim,23.96,NA
Elizabeth Manning,124444,Boston College,2016,100 Y Free,Prelims,swim,52.60,-0.2%
Elizabeth Manning,124444,Boston College,2016,100 Y Free,Timed Finals,swim,52.25,NA
Elizabeth Manning,124444,Boston College,2016,100 Y Free,Timed Finals,swim,51.88,NA
Elizabeth Manning,124444,Boston College,2016,200 Y Free,Prelims,swim,1:53.35,+0.0%
Elizabeth Manning,124444,Boston College,2016,200 Y Free,Timed Finals,swim,1:53.37,+0.5%
Elizabeth Manning,124444,Boston College,2016,500 Y Free,Prelims,swim,5:06.05,+0.2%
Madeline Mailliard,166438,Boston College,2016,50 Y Free,Prelims,swim,24.62,-0.7%
Madeline Mailliard,166438,Boston College,2016,50 Y Free,Timed Finals,swim,24.36,NA
Madeline Mailliard,166438,Boston College,2016,100 Y Free,Timed Finals,swim,55.06,NA
Madeline Mailliard,166438,Boston College,2016,200 Y Free,Timed Finals,swim,1:57.31,NA
Madeline Mailliard,166438,Boston College,2016,100 Y Back,Prelims,swim,57.87,+1.3%
Madeline Mailliard,166438,Boston College,2016,100 Y Back,Timed Finals,swim,58.03,+1.1%
Madeline Mailliard,166438,Boston College,2016,200 Y Back,Prelims,swim,2:03.99,+0.6%
Katherine Karle,329452,Boston College,2016,100 Y Back,Timed Finals,swim,58.24,+0.4%
Katherine Karle,329452,Boston College,2016,100 Y Back,Prelims,swim,58.06,+0.7%
Katherine Karle,329452,Boston College,2016,200 Y Back,Prelims,swim,2:05.51,+0.5%
Katherine Karle,329452,Boston College,2016,200 Y IM,Prelims,swim,2:10.11,+0.1%
Erika Freeman,183908,Boston College,2016,50 Y Free,Timed Finals,swim,NS,NA
Erika Freeman,183908,Boston College,2016,100 Y Free,Timed Finals,swim,52.98,+0.7%
Erika Freeman,183908,Boston College,2016,100 Y Free,Timed Finals,swim,52.41,NA
Erika Freeman,183908,Boston College,2016,100 Y Back,Prelims,swim,59.51,-2.1%
Erika Freeman,183908,Boston College,2016,200 Y Back,Prelims,swim,2:05.98,-0.5%
Erika Freeman,183908,Boston College,2016,200 Y IM,Prelims,swim,2:09.29,-1.7%
Emily Mann,342436,Boston College,2016,100 Y Fly,Timed Finals,swim,59.31,-1.2%
Emily Mann,342436,Boston College,2016,200 Y Fly,Prelims,swim,2:08.89,-0.9%
Emily Mann,342436,Boston College,2016,200 Y IM,Prelims,swim,2:09.43,+1.7%
Emily Mann,342436,Boston College,2016,400 Y IM,Prelims,swim,4:35.02,-0.2%
Gracie Kunkel,112402,Boston College,2016,50 Y Free,Prelims,swim,24.48,-2.1%
Gracie Kunkel,112402,Boston College,2016,50 Y Free,Timed Finals,swim,24.36,NA
Gracie Kunkel,112402,Boston College,2016,50 Y Free,Timed Finals,swim,23.80,NA
Gracie Kunkel,112402,Boston College,2016,100 Y Free,Prelims,swim,54.15,-1.7%
Gracie Kunkel,112402,Boston College,2016,100 Y Breast,Prelims,swim,1:08.49,-2.6%
Caroline Quindlen,202364,Boston College,2016,50 Y Free,Prelims,swim,25.83,-2.3%
Caroline Quindlen,202364,Boston College,2016,50 Y Back,Timed Finals,swim,26.38,+1.0%
Caroline Quindlen,202364,Boston College,2016,100 Y Back,Timed Finals,swim,57.60,+0.5%
Caroline Quindlen,202364,Boston College,2016,100 Y Back,Prelims,swim,58.17,-0.5%
Caroline Quindlen,202364,Boston College,2016,200 Y Back,Prelims,swim,2:10.89,+1.3%
Alison McDonough,244223,Boston College,2016,50 Y Free,Prelims,swim,25.48,+0.3%
Alison McDonough,244223,Boston College,2016,100 Y Breast,Prelims,swim,1:06.03,+1.4%
Alison McDonough,244223,Boston College,2016,200 Y Breast,Prelims,swim,2:26.21,-0.4%
Abigail Kordell,110228,Boston College,2016,200 Y Free,Timed Finals,swim,1:59.02,+23.1%
Abigail Kordell,110228,Boston College,2016,200 Y Breast,Prelims,swim,2:22.70,+0.8%
Abigail Kordell,110228,Boston College,2016,200 Y IM,Prelims,swim,2:12.67,-0.8%
Abigail Kordell,110228,Boston College,2016,400 Y IM,Prelims,swim,4:36.85,-1.3%
Jordan Parry,79418,Boston College,2016,50 Y Free,Timed Finals,swim,25.17,+1.9%
Jordan Parry,79418,Boston College,2016,100 Y Free,Prelims,swim,56.62,-0.5%
Jordan Parry,79418,Boston College,2016,50 Y Fly,Timed Finals,swim,25.20,NA
Jordan Parry,79418,Boston College,2016,100 Y Fly,Prelims,swim,56.50,-1.1%
Jordan Parry,79418,Boston College,2016,100 Y Fly,Timed Finals,swim,56.04,NA
Jordan Parry,79418,Boston College,2016,200 Y IM,Prelims,swim,2:11.63,-0.3%
Emily Smith,278362,Boston College,2016,50 Y Free,Prelims,swim,25.57,+1.0%
Emily Smith,278362,Boston College,2016,100 Y Fly,Prelims,swim,59.26,-0.4%
Emily Smith,278362,Boston College,2016,200 Y Fly,Prelims,swim,2:09.17,-1.7%
Mary Fitzsimmons,255828,Boston College,2016,500 Y Free,Prelims,swim,5:20.60,-1.3%
Mary Fitzsimmons,255828,Boston College,2016,100 Y Back,Prelims,swim,1:00.08,-0.4%
Mary Fitzsimmons,255828,Boston College,2016,200 Y Back,Prelims,swim,2:06.79,-0.3%
Hope Dragelin,348788,Boston College,2016,100 Y Free,Timed Finals,swim,55.54,+1.0%
Hope Dragelin,348788,Boston College,2016,200 Y Free,Timed Finals,swim,1:59.01,NA
Hope Dragelin,348788,Boston College,2016,100 Y Fly,Prelims,swim,58.69,-1.3%
Hope Dragelin,348788,Boston College,2016,200 Y Fly,Prelims,swim,2:10.70,-1.5%
Hope Dragelin,348788,Boston College,2016,200 Y IM,Prelims,swim,2:16.16,-2.5%
Samantha Couillard,244824,Boston College,2016,100 Y Breast,Prelims,swim,1:08.09,-1.8%
Samantha Couillard,244824,Boston College,2016,200 Y Breast,Prelims,swim,2:29.20,-2.0%
Samantha Couillard,244824,Boston College,2016,200 Y IM,Prelims,swim,2:13.60,-1.5%
Danielle Homere,163394,Boston College,2016,50 Y Free,Timed Finals,swim,25.30,NA
Danielle Homere,163394,Boston College,2016,100 Y Free,Prelims,swim,55.67,-0.4%
Danielle Homere,163394,Boston College,2016,100 Y Breast,Timed Finals,swim,1:11.84,-2.9%
Danielle Homere,163394,Boston College,2016,100 Y Fly,Prelims,swim,58.80,-1.6%
Danielle Homere,163394,Boston College,2016,200 Y IM,Prelims,swim,2:13.73,-1.3%
Amanda Bieler,208118,Boston College,2016,100 Y Free,Timed Finals,swim,57.13,+5.5%
Amanda Bieler,208118,Boston College,2016,200 Y Free,Prelims,swim,2:01.39,-1.2%
Amanda Bieler,208118,Boston College,2016,200 Y Free,Timed Finals,swim,2:00.59,NA
Amanda Bieler,208118,Boston College,2016,500 Y Free,Prelims,swim,5:19.65,-1.8%
Marina Vranos,197757,Boston College,2016,1M Diving,Prelims,dive,183.25,NA
Marina Vranos,197757,Boston College,2016,3M Diving,Prelims,dive,186.05,NA
Corinne Larkin,198062,Boston College,2016,1M Diving,Prelims,dive,158.30,NA
Corinne Larkin,198062,Boston College,2016,3M Diving,Prelims,dive,190.65,NA
Erika Freeman,183908,Boston College,2017,100 Y Free,Prelims,swim,52.32,+1.7%
Erika Freeman,183908,Boston College,2017,100 Y Free,Timed Finals,swim,51.83,NA
Erika Freeman,183908,Boston College,2017,100 Y Free,Timed Finals,swim,52.21,+1.9%
Erika Freeman,183908,Boston College,2017,200 Y Free,Prelims,swim,1:51.06,-0.0%
Erika Freeman,183908,Boston College,2017,200 Y Free,Timed Finals,swim,1:52.42,-1.3%
Erika Freeman,183908,Boston College,2017,200 Y IM,Prelims,swim,2:07.10,-1.1%
Victoria Lin,235379,Boston College,2017,50 Y Free,Prelims,swim,24.58,-1.4%
Victoria Lin,235379,Boston College,2017,50 Y Free,Timed Finals,swim,24.07,NA
Victoria Lin,235379,Boston College,2017,50 Y Fly,Timed Finals,swim,24.83,NA
Victoria Lin,235379,Boston College,2017,100 Y Fly,Prelims,swim,56.24,-0.1%
Victoria Lin,235379,Boston College,2017,100 Y Fly,Timed Finals,swim,56.79,NA
Victoria Lin,235379,Boston College,2017,200 Y Fly,Prelims,swim,2:04.74,-0.7%
Ina Elcott,255813,Boston College,2017,50 Y Free,Prelims,swim,24.46,-0.3%
Ina Elcott,255813,Boston College,2017,50 Y Free,Timed Finals,swim,24.17,+0.9%
Ina Elcott,255813,Boston College,2017,100 Y Free,Prelims,swim,53.65,-0.3%
Ina Elcott,255813,Boston College,2017,100 Y Back,Prelims,swim,58.13,-0.6%
Kristina Fecarotta,216143,Boston College,2017,100 Y Free,Prelims,swim,53.74,+5.8%
Kristina Fecarotta,216143,Boston College,2017,200 Y Free,Prelims,swim,1:53.36,+1.4%
Kristina Fecarotta,216143,Boston College,2017,200 Y Free,Timed Finals,swim,1:53.69,NA
Kristina Fecarotta,216143,Boston College,2017,500 Y Free,Prelims,swim,5:07.25,-0.9%
Lauren Quinn,281326,Boston College,2017,100 Y Free,Prelims,swim,53.03,+0.5%
Lauren Quinn,281326,Boston College,2017,100 Y Free,Timed Finals,swim,52.99,NA
Lauren Quinn,281326,Boston College,2017,200 Y Free,Prelims,swim,1:54.06,+1.0%
Lauren Quinn,281326,Boston College,2017,200 Y Free,Timed Finals,swim,1:53.97,NA
Lauren Quinn,281326,Boston College,2017,200 Y IM,Prelims,swim,2:09.74,-0.6%
Gracie Kunkel,112402,Boston College,2017,50 Y Free,Prelims,swim,24.19,-0.9%
Gracie Kunkel,112402,Boston College,2017,50 Y Free,Timed Finals,swim,23.26,NA
Gracie Kunkel,112402,Boston College,2017,50 Y Free,Timed Finals,swim,23.57,NA
Gracie Kunkel,112402,Boston College,2017,100 Y Free,Prelims,swim,53.26,-0.6%
Gracie Kunkel,112402,Boston College,2017,100 Y Free,Timed Finals,swim,52.48,NA
Gracie Kunkel,112402,Boston College,2017,100 Y Breast,Prelims,swim,1:07.18,+1.0%
Julie Dobson,230685,Boston College,2017,50 Y Free,Prelims,swim,24.58,+0.4%
Julie Dobson,230685,Boston College,2017,50 Y Free,Timed Finals,swim,23.81,NA
Julie Dobson,230685,Boston College,2017,100 Y Free,Prelims,swim,53.15,+0.2%
Julie Dobson,230685,Boston College,2017,100 Y Free,Timed Finals,swim,52.61,NA
Julie Dobson,230685,Boston College,2017,200 Y Free,Prelims,swim,1:55.81,+1.8%
Julie Dobson,230685,Boston College,2017,200 Y Free,Timed Finals,swim,1:55.08,NA
Emily Mann,342436,Boston College,2017,200 Y Fly,Prelims,swim,2:06.56,+1.4%
Emily Mann,342436,Boston College,2017,200 Y IM,Prelims,swim,2:09.66,+1.9%
Emily Mann,342436,Boston College,2017,400 Y IM,Prelims,swim,4:36.93,-0.2%
Abigail Kordell,110228,Boston College,2017,200 Y Breast,Prelims,swim,2:24.11,-1.4%
Abigail Kordell,110228,Boston College,2017,200 Y IM,Prelims,swim,2:10.89,-0.6%
Abigail Kordell,110228,Boston College,2017,400 Y IM,Prelims,swim,4:33.06,+0.6%
Katherine Karle,329452,Boston College,2017,100 Y Back,Prelims,swim,58.84,-0.9%
Katherine Karle,329452,Boston College,2017,200 Y Back,Prelims,swim,2:04.34,+0.7%
Katherine Karle,329452,Boston College,2017,200 Y IM,Prelims,swim,2:10.10,-0.2%
Taylor Covington,333809,Boston College,2017,50 Y Free,Prelims,swim,24.89,-2.0%
Taylor Covington,333809,Boston College,2017,100 Y Free,Prelims,swim,54.79,-2.4%
Taylor Covington,333809,Boston College,2017,50 Y Breast,Timed Finals,swim,29.80,NA
