Name,Swimmer_ID,Team,Year,Event,Event_Type,swim_type,Time,Improvement
Matthew Zerweck,163996,Boston College,2014,200 Y Free,Timed Finals,swim,INV,NA
Matthew Zerweck,163996,Boston College,2014,200 Y IM,Prelims,swim,1:53.50,+0.6%
Matthew Zerweck,163996,Boston College,2014,400 Y IM,Prelims,swim,4:04.13,+0.4%
Alexander Rudolph,295537,Boston College,2014,100 Y Breast,Prelims,swim,56.82,+1.6%
Alexander Rudolph,295537,Boston College,2014,200 Y Breast,Prelims,swim,2:04.33,+1.8%
Alexander Rudolph,295537,Boston College,2014,200 Y IM,Prelims,swim,1:56.74,+0.5%
Estephan Saliba,206149,Boston College,2014,50 Y Free,Prelims,swim,22.06,+0.2%
Estephan Saliba,206149,Boston College,2014,100 Y Fly,Prelims,swim,50.23,+0.6%
Estephan Saliba,206149,Boston College,2014,200 Y Fly,Prelims,swim,1:52.52,+0.9%
Joshua Williams,148008,Boston College,2014,500 Y Free,Prelims,swim,4:43.02,+0.7%
Joshua Williams,148008,Boston College,2014,100 Y Back,Prelims,swim,51.26,+1.6%
Joshua Williams,148008,Boston College,2014,200 Y Back,Prelims,swim,1:52.81,+0.8%
David Hunter,150324,Boston College,2014,50 Y Free,Prelims,swim,21.94,-0.4%
David Hunter,150324,Boston College,2014,100 Y Free,Prelims,swim,47.11,+0.2%
David Hunter,150324,Boston College,2014,100 Y Free,Timed Finals,swim,46.66,NA
David Hunter,150324,Boston College,2014,200 Y Free,Prelims,swim,1:43.12,+1.3%
Michael Bryant,111500,Boston College,2014,50 Y Free,Prelims,swim,21.36,+0.1%
Michael Bryant,111500,Boston College,2014,50 Y Free,Timed Finals,swim,20.74,NA
Michael Bryant,111500,Boston College,2014,100 Y Free,Prelims,swim,47.44,-0.3%
Michael Bryant,111500,Boston College,2014,100 Y Fly,Prelims,swim,51.04,-0.8%
Timothy Benage,149175,Boston College,2014,50 Y Free,Prelims,swim,21.70,-1.5%
Timothy Benage,149175,Boston College,2014,100 Y Free,Prelims,swim,48.30,+3.7%
Timothy Benage,149175,Boston College,2014,50 Y Fly,Timed Finals,swim,21.80,NA
Timothy Benage,149175,Boston College,2014,100 Y Fly,Prelims,swim,49.78,+0.6%
Timothy Benage,149175,Boston College,2014,100 Y Fly,Timed Finals,swim,49.19,NA
Brett Bonzell,142346,Boston College,2014,200 Y Back,Prelims,swim,1:52.88,+0.6%
Brett Bonzell,142346,Boston College,2014,100 Y Fly,Prelims,swim,51.65,+0.6%
Brett Bonzell,142346,Boston College,2014,200 Y IM,Prelims,swim,1:55.12,-0.2%
Connor Chamness,270486,Boston College,2014,50 Y Free,Prelims,swim,21.28,+1.2%
Connor Chamness,270486,Boston College,2014,50 Y Free,Timed Finals,swim,20.81,NA
Connor Chamness,270486,Boston College,2014,100 Y Free,Prelims,swim,47.38,+3.1%
Connor Chamness,270486,Boston College,2014,100 Y Back,Prelims,swim,51.65,+0.9%
David Howard,199798,Boston College,2014,50 Y Free,Prelims,swim,21.71,-1.0%
David Howard,199798,Boston College,2014,100 Y Free,Prelims,swim,47.20,+2.3%
David Howard,199798,Boston College,2014,100 Y Fly,Prelims,swim,51.17,+3.4%
Richard Mcdonnell,216000,Boston College,2014,100 Y Back,Prelims,swim,51.87,+0.7%
Richard Mcdonnell,216000,Boston College,2014,200 Y Back,Prelims,swim,1:57.22,-2.5%
Richard Mcdonnell,216000,Boston College,2014,200 Y IM,Prelims,swim,1:56.11,-0.5%
Cole Malatesta,231670,Boston College,2014,1M Diving,Prelims,dive,293.60,NA
Cole Malatesta,231670,Boston College,2014,3M Diving,Prelims,dive,275.70,NA
Jack McCarthy,295536,Boston College,2014,1M Diving,Prelims,dive,232.65,NA
Jack McCarthy,295536,Boston College,2014,3M Diving,Prelims,dive,197.80,NA
Daniel Kelly,220049,Boston College,2015,50 Y Free,Prelims,swim,20.03,+0.1%
Daniel Kelly,220049,Boston College,2015,50 Y Free,Finals,swim,19.96,+0.4%
Daniel Kelly,220049,Boston College,2015,50 Y Free,Timed Finals,swim,19.17,NA
Daniel Kelly,220049,Boston College,2015,50 Y Free,Timed Finals,swim,20.13,-0.4%
Daniel Kelly,220049,Boston College,2015,100 Y Free,Prelims,swim,45.37,-1.0%
Daniel Kelly,220049,Boston College,2015,100 Y Free,Timed Finals,swim,43.98,NA
Daniel Kelly,220049,Boston College,2015,100 Y Fly,Prelims,swim,50.62,+1.0%
Cole Malatesta,231670,Boston College,2015,1M Diving,Prelims,dive,273.85,NA
Cole Malatesta,231670,Boston College,2015,3M Diving,Prelims,dive,303.05,NA
Cole Malatesta,231670,Boston College,2015,10M Diving,Prelims,dive,190.30,NA
Andrew Stranick,65704,Boston College,2015,50 Y Breast,Timed Finals,swim,24.65,NA
Andrew Stranick,65704,Boston College,2015,100 Y Breast,Prelims,swim,55.11,+1.8%
Andrew Stranick,65704,Boston College,2015,100 Y Breast,Finals,swim,55.66,+0.8%
Andrew Stranick,65704,Boston College,2015,100 Y Breast,Timed Finals,swim,55.43,NA
Andrew Stranick,65704,Boston College,2015,200 Y Breast,Prelims,swim,2:00.09,+1.6%
Andrew Stranick,65704,Boston College,2015,200 Y Breast,Finals,swim,1:59.88,+1.8%
Andrew Stranick,65704,Boston College,2015,200 Y IM,Prelims,swim,1:52.42,+1.4%
Nicholas Henze,203889,Boston College,2015,50 Y Free,Prelims,swim,20.76,+0.8%
Nicholas Henze,203889,Boston College,2015,50 Y Free,Timed Finals,swim,19.94,NA
Nicholas Henze,203889,Boston College,2015,100 Y Free,Prelims,swim,45.39,+0.5%
Nicholas Henze,203889,Boston College,2015,100 Y Free,Timed Finals,swim,44.42,NA
Nicholas Henze,203889,Boston College,2015,100 Y Free,Timed Finals,swim,45.85,-0.5%
Nicholas Henze,203889,Boston College,2015,200 Y Free,Prelims,swim,1:38.03,-1.1%
Nicholas Henze,203889,Boston College,2015,200 Y Free,Finals,swim,1:38.11,-1.2%
Nicholas Henze,203889,Boston College,2015,200 Y Free,Timed Finals,swim,1:36.96,+2.5%
John Mooers,177613,Boston College,2015,50 Y Free,Timed Finals,swim,20.18,NA
John Mooers,177613,Boston College,2015,100 Y Free,Prelims,swim,45.43,+1.8%
John Mooers,177613,Boston College,2015,100 Y Free,Timed Finals,swim,44.33,NA
John Mooers,177613,Boston College,2015,200 Y Free,Timed Finals,swim,1:40.44,NA
John Mooers,177613,Boston College,2015,100 Y Fly,Prelims,swim,49.32,+1.0%
John Mooers,177613,Boston College,2015,100 Y Fly,Timed Finals,swim,48.64,NA
John Mooers,177613,Boston College,2015,200 Y IM,Prelims,swim,1:49.97,+0.5%
Anthony Richardson,230350,Boston College,2015,50 Y Free,Timed Finals,swim,21.13,+3.0%
Anthony Richardson,230350,Boston College,2015,100 Y Free,Timed Finals,swim,46.08,+1.7%
Anthony Richardson,230350,Boston College,2015,100 Y Free,Timed Finals,swim,45.63,NA
Anthony Richardson,230350,Boston College,2015,200 Y Free,Prelims,swim,1:41.50,+0.9%
Anthony Richardson,230350,Boston College,2015,200 Y Free,Timed Finals,swim,1:41.88,NA
Anthony Richardson,230350,Boston College,2015,500 Y Free,Prelims,swim,4:35.76,+1.7%
Anthony Richardson,230350,Boston College,2015,1650 Y Free,Timed Finals,swim,16:27.99,+0.5%
Anthony Richardson,230350,Boston College,2015,200 Y IM,Timed Finals,swim,1:57.09,+4.6%
Joshua Williams,148008,Boston College,2015,500 Y Free,Prelims,swim,4:45.29,-0.5%
Joshua Williams,148008,Boston College,2015,100 Y Back,Prelims,swim,50.23,+1.7%
Joshua Williams,148008,Boston College,2015,100 Y Back,Timed Finals,swim,50.39,+1.4%
Joshua Williams,148008,Boston College,2015,200 Y Back,Prelims,swim,1:51.07,+0.5%
Estephan Saliba,206149,Boston College,2015,50 Y Free,Prelims,swim,21.73,+0.5%
Estephan Saliba,206149,Boston College,2015,100 Y Fly,Prelims,swim,49.63,+1.2%
Estephan Saliba,206149,Boston College,2015,200 Y Fly,Prelims,swim,1:54.26,+0.1%
David Howard,199798,Boston College,2015,50 Y Free,Prelims,swim,21.19,+3.8%
David Howard,199798,Boston College,2015,100 Y Fly,Prelims,swim,51.31,+0.9%
David Howard,199798,Boston College,2015,200 Y Fly,Prelims,swim,1:53.63,+1.9%
Drew Cuttic,76191,Boston College,2015,50 Y Free,Prelims,swim,21.52,+2.4%
Drew Cuttic,76191,Boston College,2015,200 Y Free,Prelims,swim,1:43.04,+0.7%
Drew Cuttic,76191,Boston College,2015,200 Y Fly,Prelims,swim,1:55.18,+0.6%
Matthew Zerweck,163996,Boston College,2015,100 Y Free,Prelims,swim,47.64,+0.5%
Matthew Zerweck,163996,Boston College,2015,200 Y Free,Prelims,swim,1:42.12,+1.6%
Matthew Zerweck,163996,Boston College,2015,200 Y Free,Timed Finals,swim,1:41.42,NA
Matthew Zerweck,163996,Boston College,2015,500 Y Free,Prelims,swim,4:48.09,NA
Matthew Zerweck,163996,Boston College,2015,200 Y IM,Timed Finals,swim,1:56.56,-1.8%
Nicolas Junghahn,291859,Boston College,2015,50 Y Free,Timed Finals,swim,21.44,+2.6%
Nicolas Junghahn,291859,Boston College,2015,100 Y Breast,Prelims,swim,57.68,+2.2%
Nicolas Junghahn,291859,Boston College,2015,200 Y Breast,Prelims,swim,2:07.43,+1.1%
Nicolas Junghahn,291859,Boston College,2015,200 Y IM,Prelims,swim,1:54.08,+1.8%
Timothy Benage,149175,Boston College,2015,50 Y Free,Prelims,swim,21.77,-0.9%
Timothy Benage,149175,Boston College,2015,100 Y Free,Prelims,swim,48.06,+3.9%
Timothy Benage,149175,Boston College,2015,50 Y Fly,Timed Finals,swim,22.02,NA
Timothy Benage,149175,Boston College,2015,100 Y Fly,Timed Finals,swim,50.13,+0.4%
Timothy Benage,149175,Boston College,2015,100 Y Fly,Prelims,swim,50.37,-0.1%
Robert Johnson,409682,Boston College,2015,50 Y Free,Prelims,swim,21.11,+1.3%
Robert Johnson,409682,Boston College,2015,100 Y Free,Prelims,swim,47.04,+0.4%
Robert Johnson,409682,Boston College,2015,100 Y Fly,Prelims,swim,52.20,-1.4%
Connor Chamness,270486,Boston College,2015,50 Y Free,Prelims,swim,21.12,-0.8%
Connor Chamness,270486,Boston College,2015,50 Y Free,Timed Finals,swim,20.71,NA
Connor Chamness,270486,Boston College,2015,100 Y Free,Prelims,swim,47.40,-0.1%
Connor Chamness,270486,Boston College,2015,50 Y Back,Timed Finals,swim,23.53,+0.9%
Connor Chamness,270486,Boston College,2015,100 Y Back,Prelims,swim,50.70,+0.4%
Kenneth Rudolph,203890,Boston College,2015,50 Y Free,Prelims,swim,22.77,+3.1%
Kenneth Rudolph,203890,Boston College,2015,100 Y Breast,Timed Finals,swim,57.23,+1.9%
Kenneth Rudolph,203890,Boston College,2015,100 Y Breast,Prelims,swim,57.69,+1.1%
Kenneth Rudolph,203890,Boston College,2015,200 Y Breast,Prelims,swim,2:04.44,+1.8%
Kevin McCoy,220440,Boston College,2015,50 Y Free,Timed Finals,swim,22.09,NA
Kevin McCoy,220440,Boston College,2015,200 Y Fly,Prelims,swim,1:59.22,-3.1%
Kevin McCoy,220440,Boston College,2015,200 Y IM,Prelims,swim,1:54.22,-0.4%
Kevin McCoy,220440,Boston College,2015,400 Y IM,Prelims,swim,4:07.18,-2.8%
David Hunter,150324,Boston College,2015,50 Y Free,Prelims,swim,22.31,-2.9%
David Hunter,150324,Boston College,2015,100 Y Free,Prelims,swim,47.84,-0.6%
David Hunter,150324,Boston College,2015,200 Y Free,Prelims,swim,1:45.97,-2.0%
Jack McCarthy,295536,Boston College,2015,1M Diving,Prelims,dive,198.90,NA
Jack McCarthy,295536,Boston College,2015,3M Diving,Prelims,dive,213.55,NA
Daniel Kelly,220049,Boston College,2016,50 Y Free,Prelims,swim,19.89,-0.6%
Daniel Kelly,220049,Boston College,2016,50 Y Free,Finals,swim,19.78,NA
Daniel Kelly,220049,Boston College,2016,50 Y Free,Timed Finals,swim,18.94,NA
Daniel Kelly,220049,Boston College,2016,50 Y Free,Timed Finals,swim,19.97,-1.0%
Daniel Kelly,220049,Boston College,2016,50 Y Free,Timed Finals,swim,20.35,-2.9%
Daniel Kelly,220049,Boston College,2016,100 Y Free,Prelims,swim,44.45,-0.2%
Daniel Kelly,220049,Boston College,2016,100 Y Free,Timed Finals,swim,43.44,NA
Daniel Kelly,220049,Boston College,2016,100 Y Free,Timed Finals,swim,45.60,-2.8%
Daniel Kelly,220049,Boston College,2016,50 Y Fly,Timed Finals,swim,21.91,+3.0%
Daniel Kelly,220049,Boston College,2016,100 Y Fly,Prelims,swim,49.37,-0.1%
Cole Malatesta,231670,Boston College,2016,1M Diving,Prelims,dive,274.40,NA
Cole Malatesta,231670,Boston College,2016,3M Diving,Prelims,dive,306.00,NA
Taylor Cortens,289479,Boston College,2016,50 Y Free,Timed Finals,swim,21.17,NA
Taylor Cortens,289479,Boston College,2016,200 Y Free,Timed Finals,swim,1:40.11,+1.6%
Taylor Cortens,289479,Boston College,2016,100 Y Back,Timed Finals,swim,50.10,+5.3%
Taylor Cortens,289479,Boston College,2016,200 Y Back,Prelims,swim,1:47.56,+1.2%
Taylor Cortens,289479,Boston College,2016,200 Y IM,Prelims,swim,1:50.54,-0.5%
Taylor Cortens,289479,Boston College,2016,400 Y IM,Prelims,swim,3:57.18,-0.8%
Anthony Richardson,230350,Boston College,2016,50 Y Free,Timed Finals,swim,21.23,+4.7%
Anthony Richardson,230350,Boston College,2016,100 Y Free,Timed Finals,swim,46.01,+1.5%
Anthony Richardson,230350,Boston College,2016,100 Y Free,Timed Finals,swim,44.91,NA
Anthony Richardson,230350,Boston College,2016,200 Y Free,Prelims,swim,1:40.17,+1.2%
Anthony Richardson,230350,Boston College,2016,200 Y Free,Timed Finals,swim,1:39.57,NA
Anthony Richardson,230350,Boston College,2016,500 Y Free,Timed Finals,swim,4:30.60,+0.6%
Anthony Richardson,230350,Boston College,2016,500 Y Free,Prelims,swim,4:32.26,+0.4%
Anthony Richardson,230350,Boston College,2016,1650 Y Free,Timed Finals,swim,DQ,NA
Keating Mosher,210302,Boston College,2016,50 Y Free,Timed Finals,swim,21.67,NA
Keating Mosher,210302,Boston College,2016,100 Y Free,Prelims,swim,47.18,-0.4%
Keating Mosher,210302,Boston College,2016,200 Y Free,Prelims,swim,1:42.50,-1.8%
Keating Mosher,210302,Boston College,2016,200 Y Free,Timed Finals,swim,1:40.60,NA
Keating Mosher,210302,Boston College,2016,500 Y Free,Prelims,swim,4:35.63,-1.3%
John Mooers,177613,Boston College,2016,50 Y Free,Prelims,swim,20.90,NA
John Mooers,177613,Boston College,2016,50 Y Free,Timed Finals,swim,20.18,NA
John Mooers,177613,Boston College,2016,50 Y Free,Timed Finals,swim,21.40,-2.4%
John Mooers,177613,Boston College,2016,100 Y Free,Prelims,swim,46.32,+1.2%
John Mooers,177613,Boston College,2016,100 Y Fly,Prelims,swim,49.15,+2.7%
John Mooers,177613,Boston College,2016,100 Y Fly,Timed Finals,swim,48.46,NA
David Howard,199798,Boston College,2016,50 Y Free,Prelims,swim,21.30,+2.7%
David Howard,199798,Boston College,2016,50 Y Free,Timed Finals,swim,21.14,NA
David Howard,199798,Boston College,2016,50 Y Fly,Timed Finals,swim,22.33,NA
David Howard,199798,Boston College,2016,100 Y Fly,Prelims,swim,50.27,-0.2%
David Howard,199798,Boston College,2016,200 Y Fly,Prelims,swim,1:51.03,+1.4%
Kevin McCoy,220440,Boston College,2016,50 Y Free,Timed Finals,swim,21.21,NA
Kevin McCoy,220440,Boston College,2016,100 Y Fly,Timed Finals,swim,51.63,NA
Kevin McCoy,220440,Boston College,2016,200 Y Fly,Prelims,swim,1:54.78,+4.0%
Kevin McCoy,220440,Boston College,2016,200 Y IM,Prelims,swim,1:51.91,+1.1%
Kevin McCoy,220440,Boston College,2016,400 Y IM,Prelims,swim,3:57.61,+1.8%
Colin Derdeyn,212936,Boston College,2016,50 Y Free,Prelims,swim,20.75,+1.9%
Colin Derdeyn,212936,Boston College,2016,50 Y Free,Timed Finals,swim,20.15,NA
Colin Derdeyn,212936,Boston College,2016,50 Y Free,Timed Finals,swim,20.97,-1.1%
Colin Derdeyn,212936,Boston College,2016,100 Y Free,Prelims,swim,46.42,+1.0%
Colin Derdeyn,212936,Boston College,2016,100 Y Fly,Prelims,swim,50.75,+1.7%
Connor Chamness,270486,Boston College,2016,50 Y Free,Prelims,swim,20.96,-1.3%
Connor Chamness,270486,Boston College,2016,50 Y Free,Timed Finals,swim,20.63,NA
Connor Chamness,270486,Boston College,2016,50 Y Free,Timed Finals,swim,21.09,-1.9%
Connor Chamness,270486,Boston College,2016,100 Y Free,Prelims,swim,45.75,+1.6%
Connor Chamness,270486,Boston College,2016,100 Y Free,Timed Finals,swim,45.52,NA
Connor Chamness,270486,Boston College,2016,100 Y Back,Timed Finals,swim,50.73,-2.0%
Connor Chamness,270486,Boston College,2016,100 Y Back,Prelims,swim,50.42,-1.4%
Robert Johnson,409682,Boston College,2016,50 Y Free,Prelims,swim,21.13,+1.1%
Robert Johnson,409682,Boston College,2016,50 Y Free,Timed Finals,swim,20.62,NA
Robert Johnson,409682,Boston College,2016,100 Y Free,Prelims,swim,46.01,+1.1%
Robert Johnson,409682,Boston College,2016,100 Y Free,Timed Finals,swim,45.64,NA
Robert Johnson,409682,Boston College,2016,100 Y Fly,Prelims,swim,50.78,+1.9%
Joshua Williams,148008,Boston College,2016,50 Y Free,Timed Finals,swim,21.78,NA
Joshua Williams,148008,Boston College,2016,50 Y Back,Timed Finals,swim,23.07,+0.4%
Joshua Williams,148008,Boston College,2016,100 Y Back,Prelims,swim,49.87,+0.0%
Joshua Williams,148008,Boston College,2016,100 Y Back,Timed Finals,swim,49.96,-0.2%
Joshua Williams,148008,Boston College,2016,200 Y Back,Prelims,swim,1:49.20,-0.0%
Joshua Williams,148008,Boston College,2016,200 Y IM,Prelims,swim,1:56.39,NA
Daniel Creighton,219834,Boston College,2016,50 Y Free,Timed Finals,swim,20.92,NA
Daniel Creighton,219834,Boston College,2016,100 Y Back,Prelims,swim,50.95,-0.7%
Daniel Creighton,219834,Boston College,2016,200 Y Back,Prelims,swim,1:50.79,+0.5%
Daniel Creighton,219834,Boston College,2016,100 Y Fly,Prelims,swim,50.69,-0.4%
Daniel Creighton,219834,Boston College,2016,200 Y Fly,Timed Finals,swim,1:52.70,+3.5%
Matthew Zerweck,163996,Boston College,2016,50 Y Free,Timed Finals,swim,21.38,NA
Matthew Zerweck,163996,Boston College,2016,200 Y Free,Prelims,swim,1:41.78,+0.5%
Matthew Zerweck,163996,Boston College,2016,200 Y Free,Timed Finals,swim,1:41.07,NA
Matthew Zerweck,163996,Boston College,2016,200 Y Breast,Prelims,swim,2:09.92,+0.4%
Matthew Zerweck,163996,Boston College,2016,200 Y IM,Timed Finals,swim,1:54.70,-1.0%
Matthew Zerweck,163996,Boston College,2016,200 Y IM,Prelims,swim,1:54.53,-0.9%
David Hunter,150324,Boston College,2016,50 Y Free,Prelims,swim,21.33,+0.1%
David Hunter,150324,Boston College,2016,50 Y Free,Timed Finals,swim,20.95,NA
David Hunter,150324,Boston College,2016,100 Y Free,Prelims,swim,46.74,+0.7%
David Hunter,150324,Boston College,2016,200 Y Free,Prelims,swim,1:45.65,-0.4%
Mckenzie Cole,233612,Boston College,2016,50 Y Free,Timed Finals,swim,21.44,NA
Mckenzie Cole,233612,Boston College,2016,50 Y Free,Timed Finals,swim,21.36,NA
Mckenzie Cole,233612,Boston College,2016,50 Y Breast,Timed Finals,swim,25.35,NA
Mckenzie Cole,233612,Boston College,2016,100 Y Breast,Prelims,swim,56.95,+0.9%
Mckenzie Cole,233612,Boston College,2016,100 Y Breast,Timed Finals,swim,56.48,NA
Mckenzie Cole,233612,Boston College,2016,200 Y Breast,Prelims,swim,2:08.12,+1.1%
Mckenzie Cole,233612,Boston College,2016,200 Y IM,Prelims,swim,1:53.92,-0.4%
Cole Vanderwel,292000,Boston College,2016,50 Y Free,Prelims,swim,21.60,-0.5%
Cole Vanderwel,292000,Boston College,2016,50 Y Free,Timed Finals,swim,21.14,NA
Cole Vanderwel,292000,Boston College,2016,100 Y Free,Prelims,swim,47.05,-0.1%
Cole Vanderwel,292000,Boston College,2016,200 Y Free,Prelims,swim,1:41.69,+0.7%
Cole Vanderwel,292000,Boston College,2016,100 Y Breast,Timed Finals,swim,59.69,NA
Nicolas Junghahn,291859,Boston College,2016,50 Y Free,Prelims,swim,21.40,+0.4%
Nicolas Junghahn,291859,Boston College,2016,50 Y Free,Timed Finals,swim,20.85,NA
Nicolas Junghahn,291859,Boston College,2016,100 Y Breast,Prelims,swim,57.76,+1.3%
Nicolas Junghahn,291859,Boston College,2016,200 Y Breast,Prelims,swim,2:07.84,+0.8%
Jack McCarthy,295536,Boston College,2016,1M Diving,Prelims,dive,222.25,NA
Jack McCarthy,295536,Boston College,2016,3M Diving,Prelims,dive,188.15,NA
Taylor Cortens,289479,Boston College,2017,100 Y Free,Timed Finals,swim,45.68,NA
Taylor Cortens,289479,Boston College,2017,200 Y Free,Timed Finals,swim,1:39.25,NA
Taylor Cortens,289479,Boston College,2017,200 Y Breast,Prelims,swim,1:59.23,+2.9%
Taylor Cortens,289479,Boston College,2017,200 Y Breast,Finals,swim,1:59.42,+2.8%
Taylor Cortens,289479,Boston College,2017,100 Y Fly,Timed Finals,swim,48.73,NA
Taylor Cortens,289479,Boston College,2017,200 Y IM,Prelims,swim,1:48.38,-1.1%
Taylor Cortens,289479,Boston College,2017,400 Y IM,Prelims,swim,3:54.94,-0.5%
Anthony Richardson,230350,Boston College,2017,100 Y Free,Timed Finals,swim,44.90,NA
Anthony Richardson,230350,Boston College,2017,100 Y Free,Timed Finals,swim,46.40,-2.1%
Anthony Richardson,230350,Boston College,2017,200 Y Free,Prelims,swim,1:38.45,+0.5%
Anthony Richardson,230350,Boston College,2017,200 Y Free,Timed Finals,swim,1:39.03,-0.1%
Anthony Richardson,230350,Boston College,2017,500 Y Free,Prelims,swim,4:29.34,-0.1%
Anthony Richardson,230350,Boston College,2017,1650 Y Free,Timed Finals,swim,15:44.31,+0.4%
Michael Hinton,301625,Boston College,2017,100 Y Free,Prelims,swim,46.18,+3.9%
Michael Hinton,301625,Boston College,2017,100 Y Free,Timed Finals,swim,46.43,NA
Michael Hinton,301625,Boston College,2017,200 Y Free,Prelims,swim,1:40.37,+2.0%
Michael Hinton,301625,Boston College,2017,200 Y Free,Timed Finals,swim,1:41.13,NA
Michael Hinton,301625,Boston College,2017,500 Y Free,Prelims,swim,4:34.42,+1.9%
Charles Kleinsmith,329219,Boston College,2017,100 Y Breast,Prelims,swim,55.78,+1.9%
Charles Kleinsmith,329219,Boston College,2017,100 Y Breast,Timed Finals,swim,55.45,NA
Charles Kleinsmith,329219,Boston College,2017,200 Y Breast,Prelims,swim,2:02.80,+1.4%
Charles Kleinsmith,329219,Boston College,2017,200 Y IM,Prelims,swim,1:52.55,NA
John Mooers,177613,Boston College,2017,50 Y Free,Prelims,swim,20.93,+2.3%
John Mooers,177613,Boston College,2017,50 Y Free,Timed Finals,swim,20.68,NA
John Mooers,177613,Boston College,2017,100 Y Free,Prelims,swim,45.69,+1.9%
John Mooers,177613,Boston College,2017,100 Y Fly,Prelims,swim,49.72,+1.8%
Colin Derdeyn,212936,Boston College,2017,50 Y Free,Prelims,swim,20.51,+1.1%
Colin Derdeyn,212936,Boston College,2017,50 Y Free,Timed Finals,swim,20.65,+0.4%
Colin Derdeyn,212936,Boston College,2017,100 Y Free,Prelims,swim,46.35,+1.3%
Colin Derdeyn,212936,Boston College,2017,50 Y Fly,Timed Finals,swim,21.83,NA
Colin Derdeyn,212936,Boston College,2017,100 Y Fly,Prelims,swim,50.45,+0.2%
Connor Chamness,270486,Boston College,2017,50 Y Free,Prelims,swim,21.05,-1.6%
Connor Chamness,270486,Boston College,2017,50 Y Free,Timed Finals,swim,20.41,NA
Connor Chamness,270486,Boston College,2017,50 Y Free,Timed Finals,swim,20.70,NA
Connor Chamness,270486,Boston College,2017,100 Y Free,Prelims,swim,46.19,+1.3%
Connor Chamness,270486,Boston College,2017,100 Y Free,Timed Finals,swim,45.90,NA
Connor Chamness,270486,Boston College,2017,100 Y Back,Prelims,swim,49.77,+2.5%
Connor Chamness,270486,Boston College,2017,100 Y Back,Timed Finals,swim,50.08,+1.9%
David Howard,199798,Boston College,2017,50 Y Free,Prelims,swim,21.23,+1.9%
